time,max_disp,kinetic,cfl,residual
2.000000e-03,4.620761e-03,9.277333e-02,1.457582e-01,7.092933e-05
4.000000e-03,4.730134e-03,1.340139e-02,1.346909e-01,9.510113e-05
6.000000e-03,4.822328e-03,2.211269e-02,1.349438e-01,6.047696e-05
8.000000e-03,4.979203e-03,1.278949e-02,1.351967e-01,6.082467e-05
1.000000e-02,5.177659e-03,1.233647e-02,1.354495e-01,5.201013e-05
1.200000e-02,5.403079e-03,9.721372e-03,1.357023e-01,4.867154e-05
1.400000e-02,5.640468e-03,8.903568e-03,1.359550e-01,4.474392e-05
1.600000e-02,5.914296e-03,8.164668e-03,1.362077e-01,4.283213e-05
1.800000e-02,6.211202e-03,8.031311e-03,1.364603e-01,4.175004e-05
2.000000e-02,6.520111e-03,8.080002e-03,1.367128e-01,4.167536e-05
2.200000e-02,6.839417e-03,8.310537e-03,1.369651e-01,4.206891e-05
2.400000e-02,7.168768e-03,8.554153e-03,1.372174e-01,4.269965e-05
2.600000e-02,7.507057e-03,8.776274e-03,1.374696e-01,4.330051e-05
2.800000e-02,7.853522e-03,8.929299e-03,1.377216e-01,4.377211e-05
3.000000e-02,8.207174e-03,9.026008e-03,1.379735e-01,4.407753e-05
3.200000e-02,8.567106e-03,9.083695e-03,1.382252e-01,4.426055e-05
3.400000e-02,8.932308e-03,9.135642e-03,1.384768e-01,4.438757e-05
3.600000e-02,9.301738e-03,9.205073e-03,1.387282e-01,4.453045e-05
3.800000e-02,9.674226e-03,9.305517e-03,1.389794e-01,4.473471e-05
4.000000e-02,1.004848e-02,9.436715e-03,1.392304e-01,4.501547e-05
4.200000e-02,1.042302e-02,9.588860e-03,1.394813e-01,4.535837e-05
4.400000e-02,1.079614e-02,9.745878e-03,1.397319e-01,4.572990e-05
4.600000e-02,1.116584e-02,9.892346e-03,1.399823e-01,4.609099e-05
4.800000e-02,1.152977e-02,1.001750e-02,1.403906e-01,4.641042e-05
5.000000e-02,1.188518e-02,1.011822e-02,1.410869e-01,4.667267e-05
5.200000e-02,1.222887e-02,1.019846e-02,1.417677e-01,4.688003e-05
5.400000e-02,1.255715e-02,1.026690e-02,1.424339e-01,4.704859e-05
5.600000e-02,1.291276e-02,1.033358e-02,1.430864e-01,4.720116e-05
5.800000e-02,1.327713e-02,1.040645e-02,1.437261e-01,4.735915e-05
6.000000e-02,1.363352e-02,1.048934e-02,1.444516e-01,4.753629e-05
6.200000e-02,1.397993e-02,1.058166e-02,1.453192e-01,4.773590e-05
6.400000e-02,1.431405e-02,1.067960e-02,1.461745e-01,4.795228e-05
6.600000e-02,1.463325e-02,1.077842e-02,1.470174e-01,4.817500e-05
6.800000e-02,1.493454e-02,1.087473e-02,1.478479e-01,4.839432e-05
7.000000e-02,1.521455e-02,1.096811e-02,1.486660e-01,4.860572e-05
7.200000e-02,1.546958e-02,1.106164e-02,1.494720e-01,4.881227e-05
7.400000e-02,1.569559e-02,1.116108e-02,1.502658e-01,4.902406e-05
7.600000e-02,1.588830e-02,1.127324e-02,1.510478e-01,4.925526e-05
7.800000e-02,1.615626e-02,1.140416e-02,1.518181e-01,4.952004e-05
8.000000e-02,1.643613e-02,1.155740e-02,1.525771e-01,4.982861e-05
8.200000e-02,1.669641e-02,1.173320e-02,1.533250e-01,5.018429e-05
8.400000e-02,1.693405e-02,1.192902e-02,1.540621e-01,5.058344e-05
8.600000e-02,1.714567e-02,1.214090e-02,1.547887e-01,5.101781e-05
8.800000e-02,1.732755e-02,1.236518e-02,1.555051e-01,5.147817e-05
9.000000e-02,1.747568e-02,1.260001e-02,1.562117e-01,5.195779e-05
9.200000e-02,1.758582e-02,1.284651e-02,1.569088e-01,5.245532e-05
9.400000e-02,1.765358e-02,1.310936e-02,1.575967e-01,5.297631e-05
9.600000e-02,1.767456e-02,1.339537e-02,1.582757e-01,5.353188e-05
9.800000e-02,1.764442e-02,1.371292e-02,1.591063e-01,5.413643e-05
1.000000e-01,1.755907e-02,1.407082e-02,1.599370e-01,5.480558e-05
1.020000e-01,1.741476e-02,1.447733e-02,1.607587e-01,5.555380e-05
1.040000e-01,1.720829e-02,1.493929e-02,1.615716e-01,5.639257e-05
1.060000e-01,1.717766e-02,1.546172e-02,1.623755e-01,5.732917e-05
1.080000e-01,1.710664e-02,1.604754e-02,1.631707e-01,5.836622e-05
1.100000e-01,1.699065e-02,1.669745e-02,1.639572e-01,5.950172e-05
1.120000e-01,1.682717e-02,1.740980e-02,1.647351e-01,6.072928e-05
1.140000e-01,1.661399e-02,1.818020e-02,1.655045e-01,6.203819e-05
1.160000e-01,1.634928e-02,1.900112e-02,1.662657e-01,6.341324e-05
1.180000e-01,1.603177e-02,1.986143e-02,1.670188e-01,6.483464e-05
1.200000e-01,1.566080e-02,2.074640e-02,1.677639e-01,6.627824e-05
1.220000e-01,1.524948e-02,2.163818e-02,1.685014e-01,6.771643e-05
1.240000e-01,1.481981e-02,2.251680e-02,1.692314e-01,6.911971e-05
1.260000e-01,1.455908e-02,2.336159e-02,1.699541e-01,7.045871e-05
1.280000e-01,1.447430e-02,2.415291e-02,1.706697e-01,7.170638e-05
1.300000e-01,1.435814e-02,2.487380e-02,1.713784e-01,7.284003e-05
1.320000e-01,1.420728e-02,2.551135e-02,1.720804e-01,7.384292e-05
1.340000e-01,1.401879e-02,2.605765e-02,1.727759e-01,7.470525e-05
1.360000e-01,1.379031e-02,2.651014e-02,1.734652e-01,7.542443e-05
1.380000e-01,1.361846e-02,2.687116e-02,1.741462e-01,7.600462e-05
1.400000e-01,1.358305e-02,2.714728e-02,1.748196e-01,7.645554e-05
1.420000e-01,1.351634e-02,2.734839e-02,1.755653e-01,7.679132e-05
1.440000e-01,1.341874e-02,2.748553e-02,1.763486e-01,7.702840e-05
1.460000e-01,1.329085e-02,2.757014e-02,1.771245e-01,7.718357e-05
1.480000e-01,1.313337e-02,2.761387e-02,1.778933e-01,7.727356e-05
1.500000e-01,1.338009e-02,2.762904e-02,1.786549e-01,7.731534e-05
1.520000e-01,1.373238e-02,2.762745e-02,1.794095e-01,7.732578e-05
1.540000e-01,1.408902e-02,2.762143e-02,1.801571e-01,7.732161e-05
1.560000e-01,1.444861e-02,2.762344e-02,1.808978e-01,7.732004e-05
1.580000e-01,1.481010e-02,2.764669e-02,1.816318e-01,7.733890e-05
1.600000e-01,1.517298e-02,2.770467e-02,1.823593e-01,7.739678e-05
1.620000e-01,1.553727e-02,2.781097e-02,1.830803e-01,7.751247e-05
1.640000e-01,1.590359e-02,2.797859e-02,1.837950e-01,7.770425e-05
1.660000e-01,1.627316e-02,2.821958e-02,1.845036e-01,7.798897e-05
1.680000e-01,1.664766e-02,2.854424e-02,1.852062e-01,7.838113e-05
1.700000e-01,1.702918e-02,2.896063e-02,1.859030e-01,7.889182e-05
1.720000e-01,1.742001e-02,2.947414e-02,1.865942e-01,7.952798e-05
1.740000e-01,1.782254e-02,3.008686e-02,1.872799e-01,8.029176e-05
1.760000e-01,1.823905e-02,3.079763e-02,1.879602e-01,8.118025e-05
1.780000e-01,1.867157e-02,3.160201e-02,1.886354e-01,8.218573e-05
1.800000e-01,1.912169e-02,3.249288e-02,1.893054e-01,8.329649e-05
1.820000e-01,1.959049e-02,3.346070e-02,1.899705e-01,8.449765e-05
1.840000e-01,2.008394e-02,3.449509e-02,1.906308e-01,8.577284e-05
1.860000e-01,2.062191e-02,3.558428e-02,1.912863e-01,8.710498e-05
1.880000e-01,2.118127e-02,3.671727e-02,1.919373e-01,8.847753e-05
1.900000e-01,2.177174e-02,3.788384e-02,1.925838e-01,8.987583e-05
1.920000e-01,2.241166e-02,3.907557e-02,1.932259e-01,9.128767e-05
1.940000e-01,2.305380e-02,4.028580e-02,1.938813e-01,9.270363e-05
1.960000e-01,2.369885e-02,4.151028e-02,1.945985e-01,9.411730e-05
1.980000e-01,2.434756e-02,4.274575e-02,1.953105e-01,9.552459e-05
2.000000e-01,2.500057e-02,4.399093e-02,1.960175e-01,9.692328e-05
2.020000e-01,2.565834e-02,4.524498e-02,1.967196e-01,9.831262e-05
2.040000e-01,2.632102e-02,4.650791e-02,1.974167e-01,9.969255e-05
2.060000e-01,2.698849e-02,4.778004e-02,1.981091e-01,1.010636e-04
2.080000e-01,2.766028e-02,4.906216e-02,1.987967e-01,1.024267e-04
2.100000e-01,2.833568e-02,5.035492e-02,1.994798e-01,1.037828e-04
2.120000e-01,2.901373e-02,5.165891e-02,2.001583e-01,1.051329e-04
2.140000e-01,2.969332e-02,5.297602e-02,2.008323e-01,1.064783e-04
2.160000e-01,3.037327e-02,5.430678e-02,2.015019e-01,1.078206e-04
2.180000e-01,3.105244e-02,5.565164e-02,2.021672e-01,1.091601e-04
2.200000e-01,3.172982e-02,5.700986e-02,2.028282e-01,1.104971e-04
2.220000e-01,3.240459e-02,5.837889e-02,2.034849e-01,1.118300e-04
2.240000e-01,3.312320e-02,5.975521e-02,2.041375e-01,1.131561e-04
2.260000e-01,3.383927e-02,6.113354e-02,2.047861e-01,1.144714e-04
2.280000e-01,3.455169e-02,6.250601e-02,2.054305e-01,1.157703e-04
